SerialNumber,ProductName,Product,RepClass,Product Class,INTERFACE
22744,SP717M  JP,SP717M ,SP(x),IMPACT,No Interface
22745,SP717M  GRY JP,SP717M,SP(x),IMPACT,No Interface
22746,SP717MU  JP,SP717MU ,SP(x),IMPACT,USB
22747,SP717ME3　JP　,SP717ME3,SP(x),IMPACT,Ethernet
22748,SP717ME2  JP,SP717ME2 ,SP(x),IMPACT,Ethernet
22749,SP717ME3　JP　,SP717ME3,SP(x),IMPACT,Ethernet
22750,SP747MC  JP,SP747MC ,SP(x),IMPACT,Parallel
22751,SP747MC  GRY JP,SP747MC,SP(x),IMPACT,Parallel
22752,SP747MD  JP,SP747MD ,SP(x),IMPACT,Serial
22753,SP747MD  GRY JP,SP747MD,SP(x),IMPACT,Serial
22754,SP747M  JP,SP747M ,SP(x),IMPACT,No Interface
22755,SP747M  GRY JP,SP747M,SP(x),IMPACT,No Interface
22756,SP747MU  JP,SP747MU ,SP(x),IMPACT,USB
22757,SP747ME3　JP,SP747ME3,SP(x),IMPACT,Ethernet
22758,SP747ME2  JP,SP747ME2,SP(x),IMPACT,Ethernet
22759,SP747ME3　JP,SP747ME3,SP(x),IMPACT,Ethernet
22760,SP717MC  HK,SP717MC,SP(x),IMPACT,Parallel
22761,SP717MC  GRY HK,SP717MC,SP(x),IMPACT,Parallel
22762,SP717MD  HK,SP717MD,SP(x),IMPACT,Serial
